type,type_value,Description
Asset_type,DOCUMENTS,Documents
Asset_type,AUDIOVISUAL,Moving Pictures.
Asset_type,AUDIO,Sound only assets.
Asset_type,NEWS ASSETS,Audio and Audiovisual assets relating to news output.
Asset_type,PHOTOS AND STILLS,Photographic Images.
Asset_type,WEB,Content published on bbc.co.uk web sites.
Asset_type,UGC (USER GENERATED CONTENT),Content created by members of the public for publication on the BBC. May be published or unpublished.
Asset_sub_type,Rushes - BBC Programmes,"Production rushes, intermediate and outtake studio recordings, insert material, extended interviews.  Not used in the final programme but which may or may not have an ongoing value to the Production or to the BBC."
Asset_sub_type,Published Audio - Acquired Programmes,Non BBC IPR bought in material and published on Network Radio
Asset_sub_type,Published Audio - Web,Audio content published online.
Asset_sub_type,Off Air Radio Programmes,Capture of a programme as it went out on air or was published for compliance with the Broadcasting Act
Asset_sub_type,Podcasts and Downloads,"Digital Audio files downloadable from a BBC web site.  Podcasts fall into three types, whole programme, multi programme and highlights."
Asset_sub_type,Published Audio - BBC Produced Programmes,BBC Produced programmes published on Network Radio
Asset_sub_type,Programme Components,"Production generated jingles, beds etc."
Asset_sub_type,Sound Effects,"Specially commissioned recordings, recorded in high quality by suitably qualified and experienced recordists, (usually BBC Studio Managers)."
Asset_sub_type,Trails and Promotional Audio,Material promoting BBC content
Asset_sub_type,Unpublished Audio,"Rushes and other material recorded but not used in the final programme. Includes auditions, unedited interviews and music sessions"
Asset_sub_type,Pilot Programmes,A programme that has not been published/broadcast on any platform.
Asset_sub_type,Published AV - Web,Audiovisual content published online.
Asset_sub_type,Published AV - Acquired Programmes,Non BBC IPR bought in material.
Asset_sub_type,Published AV - Independent Programmes,Television programmes which have been made for the BBC by an Independant company and broadcast on a Network Television Channel. 
Asset_sub_type,Off Air TV Programmes,Capture of a programme as it went out on air or was published for compliance with the Broadcasting Act
Asset_sub_type,Stockshots,"Rushes that have been selected for the long term archive because they have high re-use value outside the original production or are historically important. Includes:<p></p>    <b>Rights based material</b> - Rushes with restrictions, which have a potential re-use value across the BBC.  Music, dance, theatre, works of art, Royal buildings, US buildings, museums, content with on-screen talent/editorial issues, recontructions, bloopers.<p></p>     <b>Free to use  material</b> (Rights free) - rushes which have a potential re-use value across the BBC. British coastline, Manhattan, steam trains, aircraft, production lines, pollution, landscapes, sunrise sunset, rough seas, skylines, commuters, shoppers. <p></p>"
Asset_sub_type,Rushes - Independent Programmes,Production rushes material created by an Independent Company making a programme for the BBC.
Asset_sub_type,Published AV - BBC Produced Programmes,Television programmes which have been commissioned and produced by the BBC and broadcast on a Network Television Channel. Includes pilots.
Asset_sub_type,Published AV - Red Button ,Content which has been broadcast on the BBC Red Button service.
Asset_sub_type,Trails and Interstitials,"Edited package promoting BBC content and servicies, promos, logos and stings which may appear in between main programmes."
Asset_sub_type,Untransmitted Programmes,"A programme which has been edited but not been published e.g. Pilots, auditions."
Asset_sub_type,Graphics,"Logos, branding used in programmes across multiple series."
Asset_sub_type,Pre-Commission Development,"Includes seedcorn development, testing presenters. "
Asset_sub_type,Tasters,Content made during development in order to win a commission.
Asset_sub_type,Rough Cuts,Representation of content prior to final mix/edit.
Asset_sub_type,Red Button - <i>SEE: Published AV - Red Button</i>,
Asset_sub_type,Continuous News Services,"Content from the BBC's continuous news services including the News Channel, BBC World and Radio 5"
Asset_sub_type,Network Radio News,"National radio news programmes - Radio 4 News bulletins at Eight, Six and Midnight, Today, World at One, PM/iPM, World Tonight, World This Weekend and Newsbeat."
Asset_sub_type,News Actuality,Untransmitted/unedited original sound recordings 
Asset_sub_type,Network Television News,"National television news programmes - Breakfast, the One, Six and Ten bulletins, Newsnight, and significant live events"
Asset_sub_type,Untransmitted News Rushes and Feeds ,Unpublished AV News Rushes and News Feeds   
Asset_sub_type,News Stills - Third Party Images,Third party images are fed to Elvis (the BBC Archives photographic archive system) via the agency wires feeds or are sourced from external photograph agencies.
Asset_sub_type,News Edited Packages - TV ,Individual packages which make up a published news bulletin.
Asset_sub_type,Images - BBC Copyright Images,
Asset_sub_type,Images - PACT,Images produced by an independent company and licenced to the BBC for 5 years under the PACT agreement
Asset_sub_type,Web Sites - Decommissioned,Web sites that are no longer maintained or taken down
Asset_sub_type,Web Audio - <i>SEE: Published Audio - Web,
Asset_sub_type,Web AV - <i>SEE: Published AV - Web</i>,
Asset_sub_type,Images - User Generated,Photographs taken by members of the public
Asset_sub_type,Music Performance - <i>SEE: Unpublished Audio</i>,
Asset_sub_type,Music Sessions - <i>SEE: Unpublished Audio</i>,
Asset_sub_type,Radio Programmes - <i>SEE: Published Audio</i>,
Asset_sub_type,Network Radio Programmes - <i>SEE: Published Audio</i>,
Asset_sub_type,Screencasts,Video walkthroughs that capture the user experience of interacting with a website/page at a particular point in time
Asset_sub_type,Web Sites - News and Sport,Web pages published in the www.bbc.co.uk/news and www.bbc.co.uk/sport domains
Asset_sub_type,Cut Stories - <i>SEE: News Edited Packages - TV</i>,
Asset_sub_type,Unpublished AV - <i>SEE: Rushes</i>,Material recorded but not used in the final programme.
Asset_sub_type,Untransmitted AV - <i>SEE: Rushes</i>,Material recorded but not used in the final programme.
Asset_sub_type,TV Programmes - <i>SEE: Published AV</i>,
Asset_sub_type,Unpublished Programmes - <i>SEE: Untransmitted Programmes</i>,
Asset_sub_type,Downloads - <i>SEE: Podcasts and Downloads</i>,Audio downloadable content
Asset_sub_type,Current Affairs Rushes - Panorama and Weekly Nations & Regions Strands,Examples: Spotlight; Inside Out
Asset_sub_type,Current Affairs Rushes - Historical or Archive Led Programmes,Examples: The Great Offices of State; The British at Work; Andrew Marr's History of Modern Britian; Our War
Asset_sub_type,Current Affairs Rushes - Foreign Affairs,Examples: This World; China on Four Wheels; Toughest Place to Be
Asset_sub_type,Current Affairs Rushes - Home Affairs,Examples: Peston's Great Euro Adventure; The City Uncovered with Evan Davis; Project Hackney
Asset_sub_type,Current Affairs Rushes - Magazine and Daytime Programmes,Examples: The One Show; Rip Off Britain
Asset_sub_type,Current Affairs Rushes - Obituaries,Rushes used for the making of obituaries
Asset_sub_type,Factual Rushes - Archive Led Programmes,"Examples: Timeshift; Microworlds, Andy's Wild Adventures"
Asset_sub_type,Web Stills - <i>SEE: Images</i>,
Asset_sub_type,News Features,Long form programmes made by television news and output on the News Channel.  
Asset_sub_type,News Unedited Sound Recordings - <i>SEE: News Actuality</i>,
Asset_sub_type,Factual Rushes - Arts Programmes,"Long running and one off Arts programmes, examples: The Culture Show; Battle for Britain's Past"
Asset_sub_type,Factual Rushes - Business Programmes,Examples: Peston - The Party is Over; The Banking Crisis
Asset_sub_type,"Factual Rushes - Documentaries (Long Form, Short Form, One Off)","Long form documentaries, short form documentaries and one off documentaries. <p></p>  Examples: Death Row Kids; Lifeline; Come Dancing with Len Goodman<p></p>  <i>For observational documentaries, see Factual Rushes - Documentaries (Observational)</i>"
Asset_sub_type,Factual Rushes - Documentaries (Observational),Examples: Lock-up; Protecting Our Children<p></p>  
Asset_sub_type,Factual Rushes - Features,Examples: Antiques Roadshow; Gardener's World; Countryfile; Daytime including Flog It! and Bargain Hunt.
Asset_sub_type,Factual Rushes - Features  (Long Form Documentary),Examples: Louis Theroux; Wonderland
Asset_sub_type,Factual Rushes - Features (Consumer Programmes),Example: Watchdog
Asset_sub_type,Factual Rushes - Food Programmes,Examples: Hairy Bikers; Nigel Slater's Simple Suppers
Asset_sub_type,Factual Rushes - History Programmes,Examples: Ancient World; History of the World
Asset_sub_type,Factual Rushes - NHU Landmark Programmes,Examples: Africa; Survival; Wild Arabia
Asset_sub_type,Factual Rushes - NHU Diaries and Events,Examples: Springwatch; Autumnwatch
Asset_sub_type,Factual Rushes - NHU Expeditions and Experts,Largely presenter led. Examples: Expedition Borneo
Asset_sub_type,Factual Rushes - NHU Natural World,Strand with both in-house and indie productions.
Asset_sub_type,Factual Rushes - The One Show Inserts,"Arts and Natural History insert films produced in Bristol and Salford for The One Show.<p></p>  For other The One Show rushes, please see <i>Current Affairs Rushes - Magazine and Daytime Programmes</i>"
Asset_sub_type,Factual Rushes - Science Landmark Series,Examples: Continents; Wonders of Life
Asset_sub_type,Factual Rushes - Science Studio Based Programmes,Examples: Bang Goes the Theory
Asset_sub_type,Factual Rushes - Religion Documentaries,Examples: Rome; Westminster; Chaplains; Around the World in 80 Faiths
Asset_sub_type,Factual Rushes - Religion Festivals,Examples:  Ramadan; Easter; Christmas
Asset_sub_type,Factual Rushes - Religion Features,Examples: Songs of Praise
Asset_sub_type,Published Audio - Independent Programmes,Network radio programmes produced by indies for the BBC
Asset_sub_type,Comedy Rushes ,"Rushes from pilots, rushes for re-commissions and rushes for re-versioning"
Asset_sub_type,Music TV Rushes - Documentaries,
Asset_sub_type,Music TV Rushes - Festival Rushes,All festival rushes including Glastonbury. Excludes ISOs. 
Asset_sub_type,Music TV Rushes - Festival ISOs ,
Asset_sub_type,"Entertainment Rushes - Formats (high profile, long running)","Examples: Strictly, It Takes Two"
Asset_sub_type,Entertainment Rushes - Awards Programmes,Includes graphics and the insert film rushes<p></p>Example: The National Lottery Awards
Asset_sub_type,Entertainment Rushes - Annual Charity Fundraisers,"Includes the insert films.<p></p>  Examples: Children in Need, CiN, Sport Relief"
