asset_type,asset_sub_type,asset_sub_type_description,business_function,business_activity,retention_period,retention_reason,security_title,action_on_expiry,reason_for_action,appraisal_criteria,authorised_by,authorisation_date,master,classification_code,notes,keywords
Documents,Programme Checker Database,,PRODUCTION,Editorial,Permanent,Business Need,Public Access,Archive,Business Need,N/A,Editorial Policy,01/12/2004,Editorial Policy,PR-Content-015 ,,
Documents,Customer Surveys,,EXTERNAL ACCOUNTABILITY,Fair Trading,Period of business/administrative need,Business Need,Restricted Access,Destroy,No Further Value,N/A,Policy,01/12/2004,Fair Trading,EA-FairTradin-006,Restricted due to commercial interests,
Documents,Viewers and Listeners Correspondence - Anon,,COMMUNICATIONS AND MARKETING,Public Relations,3 months,Business Need,Restricted Access,Destroy,No Further Value,N/A,Marketing Communications and Audiences,01/03/2010,BBC Trust,CM-PublicRels-009,includes vexatious correspondence. Personal items and enclosures will be destroyed after 6 months.,
Documents,Call Sheets,"A call sheet contains information on call times, location(s), contact numbers, transport and what is to be shot. Call sheets are used as a means of ensuring all the production team know what is happening on a filming day. see also Filming Schedules",PRODUCTION,Content Creation,Period of business/administrative need,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/05/2011,Production Office,PR-Content-012,,
Documents,Regional/Local News Scripts,,PRODUCTION,Content Creation,1 year,Business Need, N/A,Review,Possible Historical Interest,N/A,_Records Management,01/06/2003, N/A,PR-Content-00L,,
Documents,Public Enquiries,,EXTERNAL ACCOUNTABILITY,Accountability,5 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,Director Generals Office,01/12/2005, N/A,EA-Accountab-017,,
Documents,European Broadcasting Union Meetings,,EXTERNAL ACCOUNTABILITY,European Relations,5 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,Policy,01/12/2004,Nicholas Kenyon,EA-EuroRels,,
Documents,European Broadcasting Union Assemblies,,EXTERNAL ACCOUNTABILITY,European Relations,5 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,Policy,01/12/2004,Nicholas Kenyon,EA-EuroRels,,
Documents,European Broadcasting Union Constitution,,EXTERNAL ACCOUNTABILITY,European Relations,Permanent,Business Need,Restricted Access,Archive,Possible Historical Interest,N/A,Policy,01/12/2004,Nicholas Kenyon,EA-EuroRels-002,,
Documents,Writers Correspondence,,PRODUCTION,Talent Management,3 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,Vision,01/05/2011,Production Office,PR-TalentMan-015 ,,
